ProductID,ProductName,ReviewerID,Rating,ReviewText,Sentiment,ReviewDate,HelpfulVotes,TotalVotes,HelpfulnessRatio
B0890779946,Amazon Basics AAA Batteries,R13278,3,Average performance for the price point. (Review 1),Neutral,4/15/2023,14,16,0.88
B0200604502,Blue Yeti Microphone,R21395,5,This is a game-changer! Improved my daily routine significantly. (Review 2),Positive,8/12/2023,2,2,1
B0868820204,Instant Pot Duo,R76237,5,Absolutely love this product! It works perfectly and is so easy to use. Highly recommend! (Review 3),Positive,10/27/2024,35,38,0.92
B0969119330,Blue Yeti Microphone,R64987,2,Not worth the price. Many better alternatives out there. (Review 4),Negative,1/7/2023,37,41,0.9
B0919795579,SanDisk Ultra MicroSD Card,R65392,3,"Neither good nor bad, just functional. (Review 5)",Neutral,12/11/2023,9,12,0.75
B0748245888,Amazon Basics AAA Batteries,R22156,4,Fantastic quality for the price. I'm very impressed and would buy again. (Review 6),Positive,9/28/2023,22,27,0.81
B0692749116,Fire TV Stick 4K Max,R70217,5,Fantastic quality for the price. I'm very impressed and would buy again. (Review 7),Positive,10/28/2023,24,25,0.96
B0149203558,Blink Mini Camera,R57400,5,A must-have! So useful and well-designed. (Review 8),Positive,11/8/2024,45,46,0.98
B0398471886,Instant Pot Duo,R47930,1,"Very bad experience, not recommended. (Review 9)",Negative,4/9/2024,6,12,0.5
B0386665249,Wyze Cam v3,R31319,3,"It's fine, could be improved in some areas. (Review 10)",Neutral,12/19/2024,13,23,0.57
B0275452091,Kindle Paperwhite,R89840,2,This product is a complete failure. So many issues. (Review 11),Negative,4/18/2024,46,49,0.94
B0924970419,Fitbit Charge 5,R45382,5,A must-have! So useful and well-designed. (Review 12),Positive,2/27/2023,43,48,0.9
B0326541099,Instant Pot Duo,R14207,3,"Met basic expectations, nothing more. (Review 13)",Neutral,8/3/2024,17,18,0.94
B0253407200,Ring Video Doorbell,R37869,4,This is a game-changer! Improved my daily routine significantly. (Review 14),Positive,9/29/2023,41,48,0.85
B0560027313,Anker Power Bank,R42325,5,I'm so glad I bought this. It's truly a top-notch item. (Review 15),Positive,8/20/2024,16,25,0.64
B0197613238,Fitbit Charge 5,R57447,2,Does not work as described. A complete scam. (Review 16),Negative,2/18/2023,32,39,0.82
B0513140753,Amazon Basics AAA Batteries,R30033,2,Received a defective unit. Customer service was unhelpful. (Review 17),Negative,1/26/2024,38,39,0.97
B0830448745,Blink Mini Camera,R71348,5,Couldn't be happier with my purchase. Five stars! (Review 18),Positive,4/28/2023,35,35,1
B0269820594,Blue Yeti Microphone,R44973,3,"Decent quality, but I've seen better. (Review 19)",Neutral,4/9/2024,18,24,0.75
B0771410971,Echo Dot (5th Gen),R44522,5,Exceeded my expectations. The features are great and it's a joy to use. (Review 20),Positive,11/2/2023,32,33,0.97
B0679153816,Logitech MX Master 3 Mouse,R89818,2,Does not work as described. A complete scam. (Review 21),Negative,6/27/2024,23,25,0.92
B0489747629,Echo Dot (5th Gen),R88504,3,I have no strong feelings about this product. (Review 22),Neutral,11/11/2023,1,2,0.5
B0885879795,Instant Pot Duo,R17592,2,Absolutely horrendous. Wish I could give zero stars. (Review 23),Negative,5/12/2024,5,6,0.83
B0690347116,Kindle Paperwhite,R79822,2,Does not work as described. A complete scam. (Review 24),Negative,6/19/2023,42,49,0.86
B0910959828,Ninja Foodi Air Fryer,R79163,5,This is a game-changer! Improved my daily routine significantly. (Review 25),Positive,12/7/2024,13,21,0.62
B0584779555,Waterpik Water Flosser,R50857,4,"Great product, does exactly what it says. Very satisfied. (Review 26)",Positive,5/4/2023,28,36,0.78
B0694768704,Instant Pot Duo,R39451,1,Poor design and cheap materials. Regret buying it. (Review 27),Negative,8/24/2023,1,10,0.1
B0163215224,TP-Link Kasa Smart Plug,R38864,1,"Terrible quality, don't waste your money. (Review 28)",Negative,8/23/2023,45,55,0.82
B0399012686,Kindle Paperwhite,R14117,3,"Decent quality, but I've seen better. (Review 29)",Neutral,11/16/2024,32,35,0.91
B0718702544,Samsung Smart TV,R38080,5,Exceeded my expectations. The features are great and it's a joy to use. (Review 30),Positive,4/29/2024,46,55,0.84
B0807577342,Instant Pot Duo,R71993,4,A must-have! So useful and well-designed. (Review 31),Positive,3/17/2024,6,7,0.86
B0823019672,Wyze Cam v3,R65519,4,Excellent value and performance. Definitely worth it. (Review 32),Positive,10/31/2024,46,46,1
B0305718272,Amazon Basics AAA Batteries,R17944,4,"Great product, does exactly what it says. Very satisfied. (Review 33)",Positive,7/14/2023,6,9,0.67
B0596743109,Blue Yeti Microphone,R68800,2,Received a defective unit. Customer service was unhelpful. (Review 34),Negative,9/13/2023,11,15,0.73
B0680451872,Kindle Paperwhite,R68082,5,Fantastic quality for the price. I'm very impressed and would buy again. (Review 35),Positive,1/16/2023,3,13,0.23
B0329509408,Kindle Paperwhite,R40982,2,Received a defective unit. Customer service was unhelpful. (Review 36),Negative,2/15/2024,31,38,0.82
